"What is the capital of France?",Paris,London,Berlin,Madrid,0
"Which planet is known as the Red Planet?",Earth,Venus,Mars,Jupiter,2
"Who wrote 'To Kill a Mockingbird'?",Harper Lee,Mark Twain,Ernest Hemingway,F. Scott Fitzgerald,0
"What is the largest mammal in the world?",Elephant,Blue Whale,Giraffe,Shark,1
"Which gas do plants absorb from the atmosphere?",Oxygen,Hydrogen,Nitrogen,Carbon Dioxide,3
"What is the hardest natural substance on Earth?",Gold,Silver,Diamond,Iron,2
"Who painted the Mona Lisa?",Vincent van Gogh,Pablo Picasso,Claude Monet,Leonardo da Vinci,3
"Which element has the chemical symbol 'O'?",Oxygen,Hydrogen,Gold,Iron,0
"What is the currency of Japan?",Dollar,Yuan,Yen,Won,2
"Who developed the theory of relativity?",Newton,Tesla,Einstein,Curie,2
